Name,Description,Empirical
SAT_NoNSP_IDU,,0.0077
SAT_NSP,,0.0161
SAT_NIDU,,0.0075
VCT_NoNSP_IDU,,0.0233
VCT_NoNSP_MSM,,0.0208
VCT_NoNSP_EE,,0.005
VCT_NoNSP_NIDU,,0.005
VCT_NSP,,0.0476
HAART_NoSAT_IDU,,0.00345
HAART_NoSAT_NIDU,,0.0067
HAART_NoSAT_EE,,0.0117
HAART_SAT_IDU,,0.00625
HAART_SAT_NIDU,,0.0117
Adhere_SAT_IDU,,0.6
Adhere_NoSAT_IDU,,0.6
Adhere_SAT_NIDU,,0.6
Adhere_NoSAT_NIDU,,0.6
Adhere_EE,,0.6
HAARTdis_SAT_IDU,,0.0182
HAARTdis_NoSAT_IDU,,0.0344
HAARTdis_SAT_NIDU,,0.0117
HAARTdis_NoSAT_NIDU,,0.028
HAARTdis_EE,,0.0125
SAT_disc,,0.0556
TRMP_NCHRONIC_0,,0.007
TRMP_NCHRONIC_1,,0.007
TRMP_NCHRONIC_2,,0.0056
TRMP_NCHRONIC_3,,0.0028
TRMP_NCHRONIC_4,,0.0014
TRMP_NCHRONIC_5,,0.00014
TRMP_NAIDS_0,,0.0301
TRMP_NAIDS_1,,0.0301
TRMP_NAIDS_2,,0.02408
TRMP_NAIDS_3,,0.01204
TRMP_NAIDS_4,,0.00602
TRMP_NAIDS_5,,0.000602
TRMP_NACUTE_0,,0.001
TRMP_NACUTE_1,,0.001
TRMP_NACUTE_2,,0.0008
TRMP_NACUTE_3,,0.0004
TRMP_NACUTE_4,,0.0002
TRMP_NACUTE_5,,0.00002
TRMP_CHRONIC_SMSM_0,,0.0196
TRMP_CHRONIC_SMSM_1,,0.0196
TRMP_CHRONIC_SMSM_2,,0.0158
TRMP_CHRONIC_SMSM_3,,0.0079
TRMP_CHRONIC_SMSM_4,,0.004
TRMP_CHRONIC_SMSM_5,,0.0004
TRMP_CHRONIC_S_0,,0.0215
TRMP_CHRONIC_S_1,,0.0215
TRMP_CHRONIC_S_2,,0.0172
TRMP_CHRONIC_S_3,,0.0086
TRMP_CHRONIC_S_4,,0.0043
TRMP_CHRONIC_S_5,,0.00043
TRMP_AIDS_SMSM_0,,0.0043
