rseed	pseed	nseed	t	Total	HIV	AIDS	Tstd	ART	nHR	Incid	HR_6mo	HR_Ev	NewDiag	Deaths	PrEP	IDUpart_PrEP	MSMWpart_PrEP	testedPart_PrEP
69061	604753	352883	1	51528	808	472	760	752	0	0	0	0	0	0	1024	288	616	456
69061	604753	352883	2	51528	808	472	760	752	0	0	0	0	0	24	936	240	528	440
69061	604753	352883	3	51528	808	472	760	752	0	0	0	0	0	32	1048	328	656	440
69061	604753	352883	4	51528	808	472	760	752	0	0	0	0	0	48	1000	320	592	432
69061	604753	352883	5	51528	808	472	760	752	0	0	0	0	0	32	984	320	584	448
69061	604753	352883	6	51528	808	464	752	744	0	8	0	0	0	40	1032	344	656	448
69061	604753	352883	7	51528	808	464	752	744	0	0	0	0	0	40	1032	312	656	448
69061	604753	352883	8	51528	808	464	752	744	0	0	0	0	0	40	1072	312	648	496
69061	604753	352883	9	51528	808	464	752	744	0	0	0	0	0	56	1080	312	664	504
69061	604753	352883	10	51528	816	464	752	744	0	8	0	8	0	24	1008	296	616	480
69061	604753	352883	11	51528	816	464	752	744	0	0	0	0	0	64	1064	336	712	432
69061	604753	352883	12	51528	816	464	752	744	0	0	0	0	0	24	1088	328	736	464
