rseed	pseed	nseed	t	Total	HIV	AIDS	Tstd	ART	nHR	Incid	HR_6mo	HR_Ev	NewDiag	Deaths	PrEP	IDUpart_PrEP	MSMWpart_PrEP	testedPart_PrEP
69061	604753	352883	1	6441	101	59	95	94	0	0	0	0	0	0	128	36	77	57
69061	604753	352883	2	6441	101	59	95	94	0	0	0	0	0	3	117	30	66	55
69061	604753	352883	3	6441	101	59	95	94	0	0	0	0	0	4	131	41	82	55
69061	604753	352883	4	6441	101	59	95	94	0	0	0	0	0	6	125	40	74	54
69061	604753	352883	5	6441	101	59	95	94	0	0	0	0	0	4	123	40	73	56
69061	604753	352883	6	6441	101	58	94	93	0	1	0	0	0	5	129	43	82	56
69061	604753	352883	7	6441	101	58	94	93	0	0	0	0	0	5	129	39	82	56
69061	604753	352883	8	6441	101	58	94	93	0	0	0	0	0	5	134	39	81	62
69061	604753	352883	9	6441	101	58	94	93	0	0	0	0	0	7	135	39	83	63
69061	604753	352883	10	6441	102	58	94	93	0	1	0	1	0	3	126	37	77	60
69061	604753	352883	11	6441	102	58	94	93	0	0	0	0	0	8	133	42	89	54
69061	604753	352883	12	6441	102	58	94	93	0	0	0	0	0	3	136	41	92	58
