rseed	pseed	nseed	t	Total	HIV	AIDS	Tstd	ART	nHR	Incid	HR_6mo	HR_Ev	NewDiag	Deaths	PrEP	IDUpart_PrEP	MSMWpart_PrEP	testedPart_PrEP
69061	604753	352883	1	36472	2560	1024	1552	1464	0	24	0	0	0	0	0	0	0	0
69061	604753	352883	2	36472	2608	1024	1552	1464	0	48	0	0	0	16	0	0	0	0
69061	604753	352883	3	36472	2648	1024	1552	1464	0	40	0	0	0	8	0	0	0	0
69061	604753	352883	4	36472	2704	1024	1552	1464	0	56	0	0	0	16	0	0	0	0
69061	604753	352883	5	36472	2728	1024	1552	1464	0	24	0	0	0	24	0	0	0	0
69061	604753	352883	6	36472	2744	1024	1544	1456	0	16	0	0	0	64	0	0	0	0
69061	604753	352883	7	36472	2832	1032	1552	1456	0	80	0	0	0	24	0	0	0	0
69061	604753	352883	8	36472	2864	1032	1552	1456	0	32	0	0	0	0	0	0	0	0
69061	604753	352883	9	36472	2880	1032	1552	1456	0	16	0	0	0	24	0	0	0	0
69061	604753	352883	10	36472	2888	1032	1552	1456	0	8	0	0	0	0	0	0	0	0
69061	604753	352883	11	36472	2920	1032	1552	1456	0	32	0	0	0	16	0	0	0	0
69061	604753	352883	12	36472	2912	1024	1544	1440	0	8	0	0	0	32	0	0	0	0
