rseed	pseed	nseed	t	Total	HIV	AIDS	Tstd	ART	nHR	Incid	HR_6mo	HR_Ev	NewDiag	Deaths	PrEP	IDUpart_PrEP	MSMWpart_PrEP	testedPart_PrEP
69061	604753	352883	1	4559	320	128	194	183	0	3	0	0	0	0	0	0	0	0
69061	604753	352883	2	4559	326	128	194	183	0	6	0	0	0	2	0	0	0	0
69061	604753	352883	3	4559	331	128	194	183	0	5	0	0	0	1	0	0	0	0
69061	604753	352883	4	4559	338	128	194	183	0	7	0	0	0	2	0	0	0	0
69061	604753	352883	5	4559	341	128	194	183	0	3	0	0	0	3	0	0	0	0
69061	604753	352883	6	4559	343	128	193	182	0	2	0	0	0	8	0	0	0	0
69061	604753	352883	7	4559	354	129	194	182	0	10	0	0	0	3	0	0	0	0
69061	604753	352883	8	4559	358	129	194	182	0	4	0	0	0	0	0	0	0	0
69061	604753	352883	9	4559	360	129	194	182	0	2	0	0	0	3	0	0	0	0
69061	604753	352883	10	4559	361	129	194	182	0	1	0	0	0	0	0	0	0	0
69061	604753	352883	11	4559	365	129	194	182	0	4	0	0	0	2	0	0	0	0
69061	604753	352883	12	4559	364	128	193	180	0	1	0	0	0	4	0	0	0	0
