rseed	pseed	nseed	t	Total	HIV	AIDS	Tstd	ART	nHR	Incid	HR_6mo	HR_Ev	NewDiag	Deaths	PrEP	IDUpart_PrEP	MSMWpart_PrEP	testedPart_PrEP
69061	604753	352883	1	0	496	160	264	256	0	0	0	0	0	0	0	0	0	0
69061	604753	352883	2	0	528	160	264	256	0	0	0	0	0	0	0	0	0	0
69061	604753	352883	3	0	536	160	264	256	0	0	0	0	0	0	0	0	0	0
69061	604753	352883	4	0	544	160	264	256	0	0	0	0	0	0	0	0	0	0
69061	604753	352883	5	0	560	160	264	256	0	0	0	0	0	0	0	0	0	0
69061	604753	352883	6	0	568	160	264	256	0	0	0	0	0	0	0	0	0	0
69061	604753	352883	7	0	592	160	264	256	0	0	0	0	0	0	0	0	0	0
69061	604753	352883	8	0	600	160	264	256	0	0	0	0	0	0	0	0	0	0
69061	604753	352883	9	0	600	160	264	256	0	0	0	0	0	0	0	0	0	0
69061	604753	352883	10	0	600	160	264	256	0	0	0	0	0	0	0	0	0	0
69061	604753	352883	11	0	608	160	264	256	0	0	0	0	0	0	0	0	0	0
69061	604753	352883	12	0	616	160	264	256	0	0	0	0	0	0	0	0	0	0
