rseed	pseed	nseed	t	Total	HIV	AIDS	Tstd	ART	nHR	Incid	HR_6mo	HR_Ev	NewDiag	Deaths	PrEP	IDUpart_PrEP	MSMWpart_PrEP	testedPart_PrEP
69061	604753	352883	1	0	62	20	33	32	0	0	0	0	0	0	0	0	0	0
69061	604753	352883	2	0	66	20	33	32	0	0	0	0	0	0	0	0	0	0
69061	604753	352883	3	0	67	20	33	32	0	0	0	0	0	0	0	0	0	0
69061	604753	352883	4	0	68	20	33	32	0	0	0	0	0	0	0	0	0	0
69061	604753	352883	5	0	70	20	33	32	0	0	0	0	0	0	0	0	0	0
69061	604753	352883	6	0	71	20	33	32	0	0	0	0	0	0	0	0	0	0
69061	604753	352883	7	0	74	20	33	32	0	0	0	0	0	0	0	0	0	0
69061	604753	352883	8	0	75	20	33	32	0	0	0	0	0	0	0	0	0	0
69061	604753	352883	9	0	75	20	33	32	0	0	0	0	0	0	0	0	0	0
69061	604753	352883	10	0	75	20	33	32	0	0	0	0	0	0	0	0	0	0
69061	604753	352883	11	0	76	20	33	32	0	0	0	0	0	0	0	0	0	0
69061	604753	352883	12	0	77	20	33	32	0	0	0	0	0	0	0	0	0	0
