dot,old
prep,
prep.type,PrEP_type
prep.target,PrEP_Target
prep.start,PrEP_startT
prep.adherence,PrEP_Adherence
prep.efficacy,
prep.efficacy.adherent,PrEP_AdhEffic
prep.efficacy.non_adherant,PrEP_NonAdhEffic
prep.discontinue,PrEP_disc
prep.target_model,PrEP_target_model
prep.half_life,PrEP_halflife
prep.peak_load,PrEP_peakLoad
haart,
haart.start,
haart.coverage,
calibration,
calibration.partner_turnover,PARTNERTURNOVER
calibration.needle,
calibration.needle.act,cal_NeedleActScaling
calibration.needle.sharing,cal_NeedlePartScaling
calibration.sex,
calibration.sex.act,cal_SexualActScaling
calibration.sex.partner,cal_SexualPartScaling
calibration.transmission,cal_pXmissionScaling
calibration.acute,cal_AcuteScaling
calibration.risk_reduction,
calibration.risk_reduction.transmission,cal_RR_Dx
calibration.risk_reduction.haart,cal_RR_HAART
calibration.test_frequency,cal_TestFreq
calibration.mortality,cal_Mortality
calibration.aids_progression,cal_ProgAIDS
calibration.haart_coverage,cal_ART_cov
calibration.incarceration,cal_IncarP
calibration.race_transmission,cal_raceXmission
calibration.partner_sample_depth,cal_ptnrSampleDepth
outputs,
outputs.print_frequency,intermPrintFreq
outputs.draw_figures,drawFigures
outputs.calc_component_stats,calcComponentStats
outputs.reports,reports
classes,
classes.races,
classes.sex_types,agentSexTypes
classes.populations,agentPopulations
model,
model.processes,PROCESSES
model.seed,
model.seed.run,rSeed_run
model.seed.net,rSeed_net
model.seed.ppl,rSeed_pop
model.num_reps,N_REPS
model.num_pop,N_POP
model.time_range,TIME_RANGE
model.burn_duration,burnDuration
model.network,
model.network.type,network_type
model.network.component_size,
model.network.component_size.min,minComponentSize
model.network.component_size.max,maxComponentSize
high_risk,
high_risk.partner_scale,HR_partnerScale
high_risk.proportion,HR_proportion
high_risk.condom_use_type,condomUseType
high_risk.sex_based,
high_risk.sex_based.MSM,
high_risk.sex_based.MSM.duration,
assort_mix,
assort_mix.type,AssortMixType
assort_mix.coefficient,AssortMixCoeff
vaccine,
vaccine.type,vaccine_type
vaccine.booster,flag_booster
vaccine.start,vaccine_start
partnership,
partnership.sex,
partnership.sex.duration,
partnership.sex.duration.1,
partnership.sex.duration.1.prob,
partnership.sex.duration.1.min,
partnership.sex.duration.1.max,
partnership.sex.duration.2,
partnership.sex.duration.2.prob,
partnership.sex.duration.2.min,
partnership.sex.duration.2.max,
partnership.sex.duration.3,
partnership.sex.duration.3.prob,
partnership.sex.duration.3.min,
partnership.sex.duration.3.max,
partnership.sex.duration.4,
partnership.sex.duration.4.prob,
partnership.sex.duration.4.min,
partnership.sex.duration.4.max,
partnership.sex.duration.5,
partnership.sex.duration.5.prob,
partnership.sex.duration.5.min,
partnership.sex.duration.5.max,
partnership.sex.frequency,
partnership.sex.frequency.1,
partnership.sex.frequency.1.prob,
partnership.sex.frequency.1.min,
partnership.sex.frequency.1.max,
