dot,old
msmw,
msmw.hiv,
msmw.hiv.prob,
prep,
prep.type,PrEP_type
prep.target,PrEP_Target
prep.start,PrEP_startT
prep.efficacy,
prep.efficacy.adherent,PrEP_AdhEffic
prep.efficacy.non_adherant,PrEP_NonAdhEffic
prep.discontinue,PrEP_disc
prep.target_model,PrEP_target_model
prep.half_life,PrEP_halflife
prep.peak_load,PrEP_peakLoad
prep.lai,
prep.lai.prob,
prep.pca,
prep.pca.awareness,
prep.pca.awareness.starting,
prep.pca.awareness.prob,
prep.pca.prep,
prep.pca.prep.prob,
prep.pca.choice,
prep.pca.opinion,
prep.pca.opinion.threshold,
prep.pca.opinion.transmission,
prep.pca.knowledge,
prep.pca.knowledge.transmission,
prep.pca.attitude,
prep.pca.attitude.0,
prep.pca.attitude.0.prob,
prep.pca.attitude.1,
prep.pca.attitude.1.prob,
prep.pca.attitude.2,
prep.pca.attitude.2.prob,
prep.pca.attitude.3,
prep.pca.attitude.3.prob,
prep.pca.attitude.4,
prep.pca.attitude.4.prob,
haart,
haart.start,
haart.coverage,
calibration,
calibration.needle,
calibration.needle.act,cal_NeedleActScaling
calibration.needle.sharing,cal_NeedlePartScaling
calibration.sex,
calibration.sex.act,cal_SexualActScaling
calibration.sex.partner,cal_SexualPartScaling
calibration.transmission,cal_pXmissionScaling
calibration.acute,cal_AcuteScaling
calibration.risk_reduction,
calibration.risk_reduction.transmission,cal_RR_Dx
calibration.risk_reduction.haart,cal_RR_HAART
calibration.test_frequency,cal_TestFreq
calibration.mortality,cal_Mortality
calibration.aids_progression,cal_ProgAIDS
calibration.haart_coverage,cal_ART_cov
calibration.incarceration,cal_IncarP
calibration.race_transmission,cal_raceXmission
calibration.partner_sample_depth,cal_ptnrSampleDepth
outputs,
outputs.print_frequency,intermPrintFreq
outputs.draw_figures,drawFigures
outputs.edge_list,
outputs.calc_network_stats,calcNetworkStats
outputs.calc_component_stats,calcComponentStats
outputs.reports,reports
classes,
classes.races,DemographicParams.keys()
classes.sex_types,agentSexTypes
classes.bond_types,bond_type
classes.drug_types,
classes.populations,
model,
model.processes,PROCESSES
model.seed,
model.seed.run,rSeed_run
model.seed.net,rSeed_net
model.seed.ppl,rSeed_pop
model.num_reps,
model.num_pop,N_POP
model.time_range,TIME_RANGE
model.burn_duration,burnDuration
model.network,
model.network.type,network_type
model.network.component_size,
model.network.component_size.min,minComponentSize
model.network.component_size.max,maxComponentSize
model.population,
model.population.num_partners,
model.population.num_partners.type,mean_partner_type
model.population.num_partners.bins,
model.population.num_partners.bins.0,
model.population.num_partners.bins.0.prob,
model.population.num_partners.bins.1,
model.population.num_partners.bins.1.prob,
model.population.num_partners.bins.2,
model.population.num_partners.bins.2.prob,
model.population.num_partners.bins.3,
model.population.num_partners.bins.3.prob,
model.population.num_partners.bins.4,
model.population.num_partners.bins.4.prob,
model.population.num_partners.bins.5,
model.population.num_partners.bins.5.prob,
model.population.num_partners.bins.6,
model.population.num_partners.bins.6.prob,
model.population.num_partners.bins.7,
model.population.num_partners.bins.7.prob,
model.population.num_partners.bins.8,
model.population.num_partners.bins.8.prob,
model.population.num_partners.bins.9,
model.population.num_partners.bins.9.prob,
high_risk,
high_risk.partner_scale,HR_partnerScale
high_risk.proportion,HR_proportion
high_risk.condom_use_type,condomUseType
high_risk.sex_based,
high_risk.sex_based.MSM,
high_risk.sex_based.MSM.duration,
high_risk.sex_based.HM,
high_risk.sex_based.HM.duration,HR_M_dur
high_risk.sex_based.HF,
high_risk.sex_based.HF.duration,HR_F_dur
high_risk.sex_based.WSW,
high_risk.sex_based.WSW.duration,
high_risk.sex_based.MTF,
high_risk.sex_based.MTF.duration,
vaccine,
vaccine.type,vaccine_type
vaccine.booster,flag_booster
vaccine.start,vaccine_start
vaccine.init,
partnership,
partnership.sex,
partnership.sex.duration,sexualDurations
partnership.sex.duration.1,
partnership.sex.duration.1.prob,
partnership.sex.duration.1.min,
partnership.sex.duration.1.max,
partnership.sex.duration.2,
partnership.sex.duration.2.prob,
partnership.sex.duration.2.min,
partnership.sex.duration.2.max,
partnership.sex.duration.3,
partnership.sex.duration.3.prob,
partnership.sex.duration.3.min,
partnership.sex.duration.3.max,
partnership.sex.duration.4,
partnership.sex.duration.4.prob,
partnership.sex.duration.4.min,
partnership.sex.duration.4.max,
partnership.sex.duration.5,
partnership.sex.duration.5.prob,
partnership.sex.duration.5.min,
partnership.sex.duration.5.max,
partnership.sex.frequency,sexualFrequency
partnership.sex.frequency.1,
partnership.sex.frequency.1.prob,
partnership.sex.frequency.1.min,
partnership.sex.frequency.1.max,
partnership.sex.frequency.2,
partnership.sex.frequency.2.prob,
partnership.sex.frequency.2.min,
partnership.sex.frequency.2.max,
partnership.sex.frequency.3,
partnership.sex.frequency.3.prob,
partnership.sex.frequency.3.min,
partnership.sex.frequency.3.max,
partnership.sex.frequency.4,
partnership.sex.frequency.4.prob,
partnership.sex.frequency.4.min,
partnership.sex.frequency.4.max,
partnership.sex.frequency.5,
partnership.sex.frequency.5.prob,
partnership.sex.frequency.5.min,
partnership.sex.frequency.5.max,
partnership.sex.transmission,sexTrans
partnership.sex.transmission.MSM,
partnership.sex.transmission.MSM.0,
partnership.sex.transmission.MSM.0.prob,
partnership.sex.transmission.MSM.1,
partnership.sex.transmission.MSM.1.prob,
partnership.sex.transmission.MSM.2,
partnership.sex.transmission.MSM.2.prob,
partnership.sex.transmission.MSM.3,
partnership.sex.transmission.MSM.3.prob,
partnership.sex.transmission.MSM.4,
partnership.sex.transmission.MSM.4.prob,
partnership.sex.transmission.MSM.5,
partnership.sex.transmission.MSM.5.prob,
partnership.sex.transmission.HM,
partnership.sex.transmission.HM.0,
partnership.sex.transmission.HM.0.prob,
partnership.sex.transmission.HM.1,
partnership.sex.transmission.HM.1.prob,
partnership.sex.transmission.HM.2,
partnership.sex.transmission.HM.2.prob,
partnership.sex.transmission.HM.3,
partnership.sex.transmission.HM.3.prob,
partnership.sex.transmission.HM.4,
partnership.sex.transmission.HM.4.prob,
partnership.sex.transmission.HM.5,
partnership.sex.transmission.HM.5.prob,
partnership.sex.transmission.HF,
partnership.sex.transmission.HF.0,
partnership.sex.transmission.HF.0.prob,
partnership.sex.transmission.HF.1,
partnership.sex.transmission.HF.1.prob,
partnership.sex.transmission.HF.2,
partnership.sex.transmission.HF.2.prob,
partnership.sex.transmission.HF.3,
partnership.sex.transmission.HF.3.prob,
partnership.sex.transmission.HF.4,
partnership.sex.transmission.HF.4.prob,
partnership.sex.transmission.HF.5,
partnership.sex.transmission.HF.5.prob,
partnership.sex.transmission.WSW,
partnership.sex.transmission.WSW.0,
partnership.sex.transmission.WSW.0.prob,
partnership.sex.transmission.WSW.1,
partnership.sex.transmission.WSW.1.prob,
partnership.sex.transmission.WSW.2,
partnership.sex.transmission.WSW.2.prob,
partnership.sex.transmission.WSW.3,
partnership.sex.transmission.WSW.3.prob,
partnership.sex.transmission.WSW.4,
partnership.sex.transmission.WSW.4.prob,
partnership.sex.transmission.WSW.5,
partnership.sex.transmission.WSW.5.prob,
partnership.sex.transmission.MTF,
partnership.sex.transmission.MTF.0,
partnership.sex.transmission.MTF.0.prob,
partnership.sex.transmission.MTF.1,
partnership.sex.transmission.MTF.1.prob,
partnership.sex.transmission.MTF.2,
partnership.sex.transmission.MTF.2.prob,
partnership.sex.transmission.MTF.3,
partnership.sex.transmission.MTF.3.prob,
partnership.sex.transmission.MTF.4,
partnership.sex.transmission.MTF.4.prob,
