run_id	rseed	pseed	t	location	race	sex_type	agents	deaths	deaths_hiv	hiv	hiv_dx	hiv_aids	hiv_new	hiv_dx_new	knowledge_aware	haart	high_risk_new	high_risk_new_hiv	high_risk_new_aids	high_risk_new_dx	high_risk_new_haart	hiv_new_high_risk	hiv_new_high_risk_ever	incar	incar_hiv	new_release	new_release_hiv	prep	prep_new	prep_injectable	prep_oral	vaccine
xCoEDfL9	1	2	-6	world	white	HM	113	0	0	5	1	0	0	0	0	0	7	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
xCoEDfL9	1	2	-6	world	white	HF	79	0	0	8	1	0	0	0	0	0	6	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0
xCoEDfL9	1	2	-6	world	white	MSM	114	0	0	12	0	3	0	0	0	0	13	2	1	0	0	0	0	3	0	0	0	0	0	0	0	0
xCoEDfL9	1	2	-6	world	white	WSW	50	0	0	4	0	3	0	0	0	0	3	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0
xCoEDfL9	1	2	-6	world	white	MTF	44	0	0	1	0	1	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
xCoEDfL9	1	2	-6	world	black	HM	178	0	0	19	1	4	0	0	0	0	23	4	0	1	0	0	0	2	1	0	0	0	0	0	0	0
xCoEDfL9	1	2	-6	world	black	HF	106	0	0	12	1	1	2	0	0	0	15	3	0	1	0	0	0	1	0	0	0	0	0	0	0	0
xCoEDfL9	1	2	-6	world	black	MSM	188	0	0	25	1	2	1	0	0	1	24	1	0	0	0	0	0	5	0	0	0	0	0	0	0	0
xCoEDfL9	1	2	-6	world	black	WSW	67	0	0	12	1	0	0	0	0	0	14	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0
xCoEDfL9	1	2	-6	world	black	MTF	61	0	0	5	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
xCoEDfL9	1	2	-5	world	white	HM	113	0	0	9	1	0	4	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0
xCoEDfL9	1	2	-5	world	white	HF	79	0	0	9	2	0	1	1	0	0	1	0	0	0	0	1	1	5	2	0	0	0	0	0	0	0
xCoEDfL9	1	2	-5	world	white	MSM	114	0	0	25	8	3	13	8	0	0	1	0	0	0	0	10	10	8	4	0	0	0	0	0	0	0
xCoEDfL9	1	2	-5	world	white	WSW	50	0	0	7	2	3	3	2	0	0	0	0	0	0	0	2	2	2	0	0	0	0	0	0	0	0
xCoEDfL9	1	2	-5	world	white	MTF	44	0	0	3	1	1	2	1	0	0	0	0	0	0	0	2	2	2	0	0	0	0	0	0	0	0
xCoEDfL9	1	2	-5	world	black	HM	178	1	0	39	8	4	20	7	0	2	1	1	0	0	0	3	3	7	5	0	0	0	0	0	0	0
xCoEDfL9	1	2	-5	world	black	HF	106	0	0	14	1	1	2	0	0	0	0	0	0	0	0	2	2	2	1	0	0	0	0	0	0	0
xCoEDfL9	1	2	-5	world	black	MSM	188	0	0	52	9	2	27	8	0	3	1	0	0	0	0	21	21	8	2	0	0	0	0	0	0	0
xCoEDfL9	1	2	-5	world	black	WSW	67	0	0	25	7	0	13	6	0	1	0	0	0	0	0	12	12	6	4	0	0	0	0	0	0	0
xCoEDfL9	1	2	-5	world	black	MTF	61	0	0	9	1	0	4	1	0	0	0	0	0	0	0	1	1	3	1	0	0	0	0	0	0	0
xCoEDfL9	1	2	-4	world	white	HM	113	0	0	13	3	0	4	2	0	0	1	0	0	0	0	2	2	4	1	2	0	0	0	0	0	0
xCoEDfL9	1	2	-4	world	white	HF	79	0	0	12	4	0	3	2	0	0	2	0	0	0	0	2	2	6	4	2	1	0	0	0	0	0
