run_id	runseed	popseed	t	component	centrality	density	EffectiveSize	deg_cent
xCoEDfL9	1	2	0	0		0.0026	0.0226	12.3610	0.022646836147369766
xCoEDfL9	1	2	0	1		0.3333	0.6667	1.3333	0.6666666666666666
xCoEDfL9	1	2	0	2		0.0000	1.0000	1.0000	1.0
xCoEDfL9	1	2	0	3		0.0000	1.0000	1.0000	1.0
xCoEDfL9	1	2	0	4		0.0000	1.0000	1.0000	1.0
xCoEDfL9	1	2	0	5		0.0000	1.0000	1.0000	1.0
xCoEDfL9	1	2	0	6		0.0000	1.0000	1.0000	1.0
xCoEDfL9	1	2	0	7		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	0	8		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	0	9		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	0	10		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	0	11		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	0	12		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	0	13		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	0	14		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	0	15		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	0	16		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	0	17		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	0	18		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	0	19		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	0	20		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	0	21		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	0	22		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	0	23		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	0	24		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	0	25		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	0	26		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	0	27		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	0	28		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	0	29		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	0	30		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	0	31		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	0	32		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	0	33		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	0	34		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	0	35		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	0	36		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	0	37		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	0	38		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	0	39		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	0	40		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	0	41		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	0	42		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	0	43		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	0	44		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	0	45		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	0	46		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	0	47		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	0	48		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	0	49		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	0	50		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	0	51		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	0	52		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	0	53		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	0	54		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	0	55		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	0	56		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	10	0		0.0030	0.0426	16.5481	0.042624445889678786
xCoEDfL9	1	2	10	1		0.3333	0.3333	1.6667	0.3333333333333333
xCoEDfL9	1	2	10	2		0.3333	0.6667	1.3333	0.6666666666666666
xCoEDfL9	1	2	10	3		0.3333	0.6667	1.3333	0.6666666666666666
xCoEDfL9	1	2	10	4		0.3333	0.6667	1.3333	0.6666666666666666
xCoEDfL9	1	2	10	5		0.3333	0.6667	1.3333	0.6666666666666666
xCoEDfL9	1	2	10	6		0.3333	0.6667	1.3333	0.6666666666666666
xCoEDfL9	1	2	10	7		0.3333	0.6667	1.3333	0.6666666666666666
xCoEDfL9	1	2	10	8		0.0000	1.0000	1.0000	1.0
xCoEDfL9	1	2	10	9		0.0000	1.0000	1.0000	1.0
xCoEDfL9	1	2	10	10		0.0000	1.0000	1.0000	1.0
xCoEDfL9	1	2	10	11		0.0000	1.0000	1.0000	1.0
xCoEDfL9	1	2	10	12		0.0000	1.0000	1.0000	1.0
xCoEDfL9	1	2	10	13		0.0000	1.0000	1.0000	1.0
xCoEDfL9	1	2	10	14		0.0000	1.0000	1.0000	1.0
xCoEDfL9	1	2	10	15		0.0000	1.0000	1.0000	1.0
xCoEDfL9	1	2	10	16		0.0000	1.0000	1.0000	1.0
xCoEDfL9	1	2	10	17		0.0000	1.0000	1.0000	1.0
xCoEDfL9	1	2	10	18		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	10	19		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	10	20		0.0000	0.0000	nan	1.0
