Time,Description,Empirical
1,,0.65
2,,0.65
3,,0.65
4,,0.65
5,,0.65
6,,0.65
7,,0.65
8,,0.65
9,,0.65
10,,0.65
11,,0.65
12,,0.65
13,,0.65
14,,0.65
15,,0.65
16,,0.65
17,,0.65
18,,0.65
19,,0.65
20,,0.65
21,,0.65
22,,0.65
23,,0.65
24,,0.65
25,,0.65
26,,0.65
27,,0.65
28,,0.65
29,,0.65
30,,0.65
31,,0.65
32,,0.65
33,,0.65
34,,0.65
35,,0.65
36,,0.65
37,,0.65
38,,0.65
39,,0.65
40,,0.65
41,,0.65
42,,0.65
43,,0.65
44,,0.65
45,,0.65
46,,0.65
47,,0.65
48,,0.65
49,,0.65
50,,0.65
51,,0.65
52,,0.65
53,,0.65
54,,0.65
55,,0.65
56,,0.65
57,,0.65
58,,0.65
59,,0.65
60,,0.65
61,,0.65
62,,0.65
63,,0.65
64,,0.65
65,,0.65
66,,0.65
67,,0.65
68,,0.65
69,,0.65
70,,0.65
71,,0.65
72,,0.65
73,,0.65
74,,0.65
75,,0.65
76,,0.65
77,,0.65
78,,0.65
79,,0.65
80,,0.65
81,,0.65
82,,0.65
83,,0.65
84,,0.65
85,,0.65
86,,0.65
87,,0.65
88,,0.65
89,,0.65
90,,0.65
91,,0.65
92,,0.65
93,,0.65
94,,0.65
95,,0.65
96,,0.65
97,,0.65
98,,0.65
99,,0.65
100,,0.65
101,,0.65
102,,0.65
103,,0.65
104,,0.65
105,,0.65
106,,0.65
107,,0.65
108,,0.65
109,,0.65
110,,0.65
111,,0.65
112,,0.65
113,,0.65
114,,0.65
115,,0.65
116,,0.65
117,,0.65
118,,0.65
119,,0.65
120,,0.65
121,,0.65
122,,0.65
123,,0.65
124,,0.65
125,,0.65
126,,0.65
127,,0.65
128,,0.65
129,,0.65
130,,0.65
131,,0.65
132,,0.65
133,,0.65
134,,0.65
135,,0.65
136,,0.65
137,,0.65
138,,0.65
139,,0.65
140,,0.65
141,,0.65
142,,0.65
143,,0.65
144,,0.65
145,,0.65
146,,0.65
147,,0.65
148,,0.65
149,,0.65
150,,0.65
151,,0.65
152,,0.65
153,,0.65
154,,0.65
155,,0.65
156,,0.65
157,,0.65
158,,0.65
159,,0.65
160,,0.65
161,,0.65
162,,0.65
163,,0.65
164,,0.65
165,,0.65
166,,0.65
167,,0.65
168,,0.65
169,,0.65
170,,0.65
171,,0.65
172,,0.65
173,,0.65
174,,0.65
175,,0.65
176,,0.65
177,,0.65
178,,0.65
179,,0.65
180,,0.65
181,,0.65
182,,0.65
183,,0.65
184,,0.65
185,,0.65
186,,0.65
187,,0.65
188,,0.65
189,,0.65
190,,0.65
191,,0.65
192,,0.65
193,,0.65
194,,0.65
195,,0.65
196,,0.65
197,,0.65
198,,0.65
199,,0.65
200,,0.65
201,,0.65
202,,0.65
203,,0.65
204,,0.65
205,,0.65
206,,0.65
207,,0.65
208,,0.65
209,,0.65
210,,0.65
211,,0.65
212,,0.65
213,,0.65
214,,0.65
215,,0.65
216,,0.65
217,,0.65
218,,0.65
219,,0.65
220,,0.65
221,,0.65
222,,0.65
223,,0.65
224,,0.65
225,,0.65
226,,0.65
227,,0.65
228,,0.65
229,,0.65
230,,0.65
231,,0.65
232,,0.65
233,,0.65
234,,0.65
235,,0.65
236,,0.65
237,,0.65
238,,0.65
239,,0.65
240,,0.65
241,,0.65
242,,0.65
243,,0.65
244,,0.65
245,,0.65
246,,0.65
247,,0.65
248,,0.65
249,,0.65
250,,0.65
251,,0.65
252,,0.65
253,,0.65
254,,0.65
255,,0.65
256,,0.65
257,,0.65
258,,0.65
259,,0.65
260,,0.65
261,,0.65
262,,0.65
263,,0.65
264,,0.65
265,,0.65
266,,0.65
267,,0.65
268,,0.65
269,,0.65
270,,0.65
271,,0.65
272,,0.65
273,,0.65
274,,0.65
275,,0.65
276,,0.65
277,,0.65
278,,0.65
279,,0.65
280,,0.65
281,,0.65
282,,0.65
283,,0.65
284,,0.65
285,,0.65
286,,0.65
287,,0.65
288,,0.65
289,,0.65
290,,0.65
291,,0.65
292,,0.65
293,,0.65
294,,0.65
295,,0.65
296,,0.65
297,,0.65
298,,0.65
299,,0.65
300,,0.65
301,,0.65
302,,0.65
303,,0.65
304,,0.65
305,,0.65
306,,0.65
307,,0.65
308,,0.65
309,,0.65
310,,0.65
311,,0.65
312,,0.65
313,,0.65
314,,0.65
315,,0.65
316,,0.65
317,,0.65
318,,0.65
319,,0.65
320,,0.65
321,,0.65
322,,0.65
323,,0.65
324,,0.65
325,,0.65
326,,0.65
327,,0.65
328,,0.65
329,,0.65
330,,0.65
331,,0.65
332,,0.65
333,,0.65
334,,0.65
335,,0.65
336,,0.65
337,,0.65
338,,0.65
339,,0.65
340,,0.65
341,,0.65
342,,0.65
343,,0.65
344,,0.65
345,,0.65
346,,0.65
347,,0.65
348,,0.65
349,,0.65
350,,0.65
351,,0.65
352,,0.65
353,,0.65
354,,0.65
355,,0.65
356,,0.65
357,,0.65
358,,0.65
359,,0.65
360,,0.65
