seed	t	Total	HM	MSM	HF	HIV_tot	HIV_HM	HIV_MSM	HIV_HF
1	0	1368	623	0	745	126	82	0	44
1	1	1368	623	0	745	126	82	0	44
1	2	37	13	0	24	2	1	0	1
1	3	37	16	0	21	3	1	0	2
1	4	37	19	0	18	4	2	0	2
1	5	41	19	0	22	3	3	0	0
1	6	35	19	0	16	2	0	0	2
1	7	50	20	0	30	3	1	0	2
1	8	38	17	0	21	4	3	0	1
1	9	42	23	0	19	3	1	0	2
1	10	41	20	0	21	6	3	0	3
1	11	38	21	0	17	6	5	0	1
1	12	32	12	0	20	1	1	0	0
1	13	41	16	0	25	5	3	0	2
1	14	39	21	0	18	5	5	0	0
1	15	36	14	0	22	4	1	0	3
1	16	37	13	0	24	5	0	0	5
1	17	41	16	0	25	8	5	0	3
1	18	34	15	0	19	3	1	0	2
1	19	38	17	0	21	1	0	0	1
1	20	27	5	0	22	4	2	0	2
1	21	30	18	0	12	2	2	0	0
1	22	23	7	0	16	3	3	0	0
1	23	53	21	0	32	4	3	0	1
1	24	40	17	0	23	5	2	0	3
1	25	40	20	0	20	3	2	0	1
1	26	27	10	0	17	1	0	0	1
1	27	35	12	0	23	3	0	0	3
1	28	41	18	0	23	4	3	0	1
1	29	32	15	0	17	5	3	0	2
1	30	41	12	0	29	2	2	0	0
1	31	37	14	0	23	4	2	0	2
1	32	33	7	0	26	2	1	0	1
1	33	35	11	0	24	4	2	0	2
1	34	36	10	0	26	2	2	0	0
1	35	43	17	0	26	2	1	0	1
1	36	32	17	0	15	1	0	0	1
1	37	41	11	0	30	3	2	0	1
1	38	34	13	0	21	7	3	0	4
1	39	44	16	0	28	5	2	0	3
1	40	41	20	0	21	4	3	0	1
1	41	33	15	0	18	5	3	0	2
1	42	38	18	0	20	6	4	0	2
1	43	33	14	0	19	2	1	0	1
1	44	45	22	0	23	8	5	0	3
1	45	39	11	0	28	4	3	0	1
1	46	31	11	0	20	4	2	0	2
1	47	39	13	0	26	2	1	0	1
1	48	32	15	0	17	3	2	0	1
1	49	45	23	0	22	5	4	0	1
1	50	46	15	0	31	5	2	0	3
1	51	30	13	0	17	1	0	0	1
1	52	36	9	0	27	3	0	0	3
1	53	41	20	0	21	5	3	0	2
1	54	32	14	0	18	3	2	0	1
1	55	39	15	0	24	7	2	0	5
1	56	28	12	0	16	6	4	0	2
1	57	42	18	0	24	5	4	0	1
1	58	37	14	0	23	10	5	0	5
1	59	35	18	0	17	3	1	0	2
1	60	41	16	0	25	6	2	0	4
1	61	29	12	0	17	4	2	0	2
1	62	34	16	0	18	2	1	0	1
1	63	33	14	0	19	7	4	0	3
1	64	28	8	0	20	1	0	0	1
1	65	38	16	0	22	5	2	0	3
1	66	41	13	0	28	7	2	0	5
1	67	35	12	0	23	5	1	0	4
1	68	38	13	0	25	4	2	0	2
1	69	29	16	0	13	5	3	0	2
1	70	37	16	0	21	1	1	0	0
1	71	37	16	0	21	5	3	0	2
1	72	41	12	0	29	4	2	0	2
1	73	31	11	0	20	3	2	0	1
1	74	40	20	0	20	11	6	0	5
1	75	33	16	0	17	3	1	0	2
1	76	25	10	0	15	1	1	0	0
1	77	38	16	0	22	4	1	0	3
1	78	45	25	0	20	3	2	0	1
1	79	33	13	0	20	1	0	0	1
1	80	38	14	0	24	3	2	0	1
1	81	37	15	0	22	3	3	0	0
1	82	35	15	0	20	5	3	0	2
1	83	34	17	0	17	2	2	0	0
1	84	31	12	0	19	2	1	0	1
1	85	34	12	0	22	5	2	0	3
1	86	41	13	0	28	1	1	0	0
1	87	32	14	0	18	5	0	0	5
1	88	41	20	0	21	7	2	0	5
1	89	35	11	0	24	4	1	0	3
1	90	41	13	0	28	2	0	0	2
1	91	32	11	0	21	3	1	0	2
1	92	35	14	0	21	5	3	0	2
1	93	39	16	0	23	2	0	0	2
1	94	37	13	0	24	6	2	0	4
1	95	46	18	0	28	8	0	0	8
1	96	30	18	0	12	5	3	0	2
1	97	34	18	0	16	4	2	0	2
1	98	34	13	0	21	2	2	0	0
1	99	30	16	0	14	3	0	0	3
1	100	34	16	0	18	1	1	0	0
1	101	39	20	0	19	1	1	0	0
1	102	32	9	0	23	4	1	0	3
1	103	38	16	0	22	5	4	0	1
1	104	29	13	0	16	5	2	0	3
1	105	38	16	0	22	4	1	0	3
1	106	42	16	0	26	7	5	0	2
1	107	31	12	0	19	3	1	0	2
1	108	23	9	0	14	5	2	0	3
1	109	26	10	0	16	2	1	0	1
1	110	38	13	0	25	6	3	0	3
1	111	39	13	0	26	3	1	0	2
1	112	32	12	0	20	3	0	0	3
1	113	34	14	0	20	3	1	0	2
1	114	30	17	0	13	5	4	0	1
1	115	48	21	0	27	6	4	0	2
1	116	48	17	0	31	6	1	0	5
1	117	44	14	0	30	5	1	0	4
1	118	32	10	0	22	4	3	0	1
1	119	41	13	0	28	3	1	0	2
1	120	37	16	0	21	4	2	0	2
