seed	t	Total	HIV	AIDS	Tested	ART	Incidence	HRInc_6mo	HRInc_Ev	NewlyDiag	Deaths
1	0	2935	98	22	42	25	0	0	0	0	10
1	1	2935	100	22	42	25	2	0	0	0	10
1	2	2935	100	22	42	25	0	0	0	0	0
1	3	2936	100	22	42	25	0	0	0	0	0
1	4	2936	101	22	42	25	1	0	0	0	0
1	5	2936	101	22	42	25	0	0	0	0	0
1	6	2939	101	22	42	25	0	0	0	0	0
1	7	2940	102	22	42	25	1	0	0	0	0
1	8	2941	101	22	41	24	0	0	0	0	1
1	9	2942	102	22	41	24	1	0	0	0	0
1	10	2941	102	22	41	24	0	0	0	0	0
1	11	2941	103	23	41	25	1	0	0	0	0
1	12	2942	103	23	41	25	0	0	0	0	0
1	13	2942	104	23	41	25	1	0	0	0	0
1	14	2943	104	23	41	25	0	0	0	0	0
1	15	2944	104	23	41	25	0	0	0	0	0
1	16	2946	105	23	41	25	1	0	0	0	0
1	17	2946	106	23	41	25	1	0	0	0	0
1	18	2948	107	23	41	25	1	0	0	0	0
1	19	2947	108	23	41	25	1	0	0	0	0
1	20	2948	109	23	41	25	1	0	0	0	0
1	21	2948	110	24	41	25	1	0	0	0	0
1	22	2946	111	24	41	25	1	0	0	0	0
1	23	2946	112	25	41	26	1	0	0	0	0
1	24	2947	112	25	41	27	0	0	0	0	0
1	25	2950	114	25	41	27	2	0	0	0	0
1	26	2949	114	25	41	27	0	0	0	0	0
1	27	2949	116	25	41	28	2	0	0	0	0
1	28	2952	115	25	41	28	0	0	0	0	1
1	29	2950	115	25	41	29	0	0	0	0	0
1	30	2949	116	27	41	29	1	0	0	0	0
1	31	2951	116	28	41	29	0	0	0	0	0
1	32	2948	119	28	41	29	3	0	1	0	0
1	33	2947	119	28	41	29	0	0	0	0	0
1	34	2945	118	28	41	29	0	0	0	0	1
1	35	2943	118	29	41	30	0	0	0	0	0
1	36	2940	118	29	41	30	0	0	0	0	0
1	37	2942	119	30	41	30	1	0	0	0	0
1	38	2942	120	30	41	30	1	0	0	0	0
1	39	2942	120	30	41	30	0	0	0	0	0
1	40	2941	120	30	41	30	0	0	0	0	0
1	41	2943	121	30	41	30	1	0	0	0	0
1	42	2943	123	30	41	31	2	0	0	0	0
1	43	2942	124	31	41	31	1	0	0	0	0
1	44	2942	124	31	41	31	0	0	0	0	0
1	45	2942	124	31	41	31	0	0	0	0	0
1	46	2941	126	31	41	31	2	0	1	0	0
1	47	2940	125	31	41	31	0	0	0	0	1
1	48	2943	125	32	41	31	0	0	0	0	0
1	49	2942	125	34	41	31	0	0	0	0	0
1	50	2942	125	34	41	31	0	0	0	0	0
1	51	2942	125	34	41	31	1	0	0	0	1
1	52	2942	125	36	41	31	0	0	0	0	0
1	53	2943	125	36	41	31	0	0	0	0	0
1	54	2944	125	36	41	31	0	0	0	0	0
1	55	2945	126	36	41	31	1	0	0	0	0
1	56	2943	125	36	41	32	0	0	0	0	1
1	57	2943	124	36	41	32	0	0	0	0	1
1	58	2943	124	36	41	33	0	0	0	0	0
1	59	2944	124	36	41	33	0	0	0	0	0
1	60	2941	123	36	40	32	0	0	0	0	1
1	61	2945	125	38	40	33	2	0	0	0	0
1	62	2944	125	38	40	33	0	0	0	0	0
1	63	2943	125	39	40	33	0	0	0	0	0
1	64	2946	125	40	40	33	0	0	0	0	0
1	65	2946	125	41	40	33	0	0	0	0	0
1	66	2945	125	41	40	33	0	0	0	0	0
1	67	2946	124	41	40	33	0	0	0	0	1
1	68	2947	125	43	40	33	1	0	0	0	0
1	69	2946	125	43	40	33	0	0	0	0	0
1	70	2948	125	43	40	33	0	0	0	0	0
1	71	2948	125	43	40	33	0	0	0	0	0
1	72	2948	124	43	39	32	0	0	0	0	1
1	73	2948	123	42	39	32	0	0	0	0	1
1	74	2949	123	42	39	32	0	0	0	0	0
1	75	2950	124	42	39	32	1	0	0	0	0
1	76	2950	124	43	39	32	0	0	0	0	0
1	77	2951	124	43	39	32	0	0	0	0	0
1	78	2951	123	45	38	31	0	0	0	0	1
1	79	2952	123	45	38	31	0	0	0	0	0
1	80	2952	125	46	38	31	2	0	0	0	0
1	81	2953	126	46	38	31	1	0	0	0	0
1	82	2952	126	46	38	32	0	0	0	0	0
1	83	2950	125	45	37	32	0	0	0	0	1
1	84	2947	125	46	37	32	0	0	0	0	0
1	85	2948	125	46	37	32	0	0	0	0	0
1	86	2949	125	47	37	32	0	0	0	0	0
1	87	2948	124	46	37	32	0	0	0	0	1
1	88	2947	124	46	37	32	0	0	0	0	0
1	89	2946	124	48	37	32	1	0	0	0	1
1	90	2944	123	48	37	32	0	0	0	0	1
1	91	2945	123	49	37	32	0	0	0	0	0
1	92	2946	125	49	37	32	2	0	0	0	0
1	93	2947	127	49	37	32	2	0	0	0	0
1	94	2948	127	49	37	32	0	0	0	0	0
1	95	2946	128	50	37	32	1	0	0	0	0
1	96	2944	128	51	37	32	0	0	0	0	0
1	97	2940	130	51	37	32	2	0	0	0	0
1	98	2941	131	51	37	32	1	0	0	0	0
1	99	2940	131	53	37	32	0	0	0	0	0
1	100	2943	132	53	37	32	1	0	0	0	0
1	101	2942	134	53	37	32	2	0	0	0	0
1	102	2943	134	53	37	32	0	0	0	0	0
1	103	2943	136	53	37	33	2	0	0	0	0
1	104	2945	138	54	37	34	2	0	0	0	0
1	105	2946	139	56	37	34	1	0	0	0	0
1	106	2946	139	56	37	35	0	0	0	0	0
1	107	2944	138	57	37	35	0	0	0	0	1
1	108	2943	139	58	37	35	1	0	1	0	0
1	109	2944	139	58	37	35	0	0	0	0	0
1	110	2942	140	60	37	35	1	0	0	0	0
1	111	2940	141	61	37	35	1	0	0	0	0
1	112	2941	142	60	37	35	2	0	0	0	1
1	113	2940	142	60	37	35	0	0	0	0	0
1	114	2938	142	60	37	35	0	0	0	0	0
1	115	2939	142	60	37	35	0	0	0	0	0
1	116	2940	143	62	37	35	1	0	1	0	0
1	117	2940	143	62	37	35	0	0	0	0	0
1	118	2939	143	63	37	35	0	0	0	0	0
1	119	2938	144	64	37	35	1	0	0	0	0
1	120	2939	146	64	37	35	2	0	0	0	0
