seed	t	Total	W_HM	B_HM	HM	W_HF	B_HF	HF	W_MSM	B_MSM	MSM
1	0	0	0	0	0	0	0	0	0	0	0
1	1	1	0	0	0	0	0	0	0	0	0
1	2	0	0	0	0	0	0	0	0	0	0
1	3	0	0	0	0	0	0	0	0	0	0
1	4	1	0	0	0	0	0	0	0	0	0
1	5	0	0	0	0	0	0	0	0	0	0
1	6	2	0	0	0	0	0	0	0	0	0
1	7	3	1	0	0	0	0	0	0	0	0
1	8	0	0	0	0	0	0	0	0	0	0
1	9	0	0	0	0	0	0	0	0	0	0
1	10	1	0	0	0	0	0	0	0	0	0
1	11	0	0	0	0	0	0	0	0	0	0
1	12	1	1	1	1	0	0	0	0	0	0
1	13	1	0	0	0	0	0	0	0	0	0
1	14	0	0	0	0	0	0	0	0	0	0
1	15	0	0	0	0	0	0	0	0	0	0
1	16	1	1	0	0	0	0	0	0	0	0
1	17	1	0	0	0	0	0	0	0	0	0
1	18	2	0	0	0	0	0	0	0	0	0
1	19	1	0	0	0	0	0	0	0	0	0
1	20	2	0	0	0	0	0	0	0	0	0
1	21	2	1	0	1	1	0	0	0	0	0
1	22	0	0	0	0	0	0	0	0	0	0
1	23	1	0	0	0	0	0	0	0	0	0
1	24	0	0	0	0	0	0	0	0	0	0
1	25	0	0	0	0	0	0	0	0	0	0
1	26	0	0	0	0	0	0	0	0	0	0
1	27	2	0	0	0	0	0	0	0	0	0
1	28	1	0	0	0	0	0	0	0	0	0
1	29	1	0	0	0	0	0	0	0	0	0
1	30	0	0	0	0	0	0	0	0	0	0
1	31	1	0	0	0	0	0	0	0	0	0
1	32	3	1	1	1	0	0	0	0	0	0
1	33	0	0	0	0	0	0	0	0	0	0
1	34	1	0	0	0	0	0	0	0	0	0
1	35	1	0	0	0	0	0	0	0	0	0
1	36	2	0	0	0	0	0	0	0	0	0
1	37	1	0	0	0	0	0	0	0	0	0
1	38	1	0	0	0	0	0	0	0	0	0
1	39	1	0	0	0	0	0	0	0	0	0
1	40	0	0	0	0	0	0	0	0	0	0
1	41	0	0	0	0	0	0	0	0	0	0
1	42	2	1	1	1	0	0	0	0	0	0
1	43	0	0	0	0	0	0	0	0	0	0
1	44	3	0	0	0	0	0	0	0	0	0
1	45	2	0	0	0	0	0	0	0	0	0
1	46	2	0	0	0	0	0	0	0	0	0
1	47	1	0	0	0	0	0	0	0	0	0
1	48	3	0	0	0	0	0	0	0	0	0
1	49	0	0	0	0	0	0	0	0	0	0
1	50	4	0	0	0	0	0	0	0	0	0
1	51	2	0	0	0	0	0	0	0	0	0
1	52	1	0	0	0	0	0	0	0	0	0
1	53	2	0	0	0	0	0	0	0	0	0
1	54	2	0	0	0	0	0	0	0	0	0
1	55	1	0	0	0	0	0	0	0	0	0
1	56	1	0	0	0	0	0	0	0	0	0
1	57	2	0	0	0	0	0	0	0	0	0
1	58	1	0	0	0	0	0	0	0	0	0
1	59	2	0	0	0	0	0	0	0	0	0
1	60	0	0	0	0	0	0	0	0	0	0
1	61	0	0	0	0	0	0	0	0	0	0
1	62	1	0	0	0	0	0	0	0	0	0
1	63	0	0	0	0	0	0	0	0	0	0
1	64	2	0	0	0	0	0	0	0	0	0
1	65	1	0	0	0	0	0	0	0	0	0
1	66	3	0	0	0	0	0	0	0	0	0
1	67	1	0	0	0	0	0	0	0	0	0
1	68	4	0	0	0	0	0	0	0	0	0
1	69	1	0	0	0	0	0	0	0	0	0
1	70	1	0	0	0	0	0	0	0	0	0
1	71	2	0	0	0	0	0	0	0	0	0
1	72	4	0	0	0	0	0	0	0	0	0
1	73	2	0	0	0	0	0	0	0	0	0
1	74	2	0	0	0	0	0	0	0	0	0
1	75	3	0	0	0	0	0	0	0	0	0
1	76	2	0	0	0	0	0	0	0	0	0
1	77	2	0	0	0	0	0	0	0	0	0
1	78	0	0	0	0	0	0	0	0	0	0
1	79	2	0	0	0	0	0	0	0	0	0
1	80	0	0	0	0	0	0	0	0	0	0
1	81	0	0	0	0	0	0	0	0	0	0
1	82	2	0	0	0	0	0	0	0	0	0
1	83	3	1	1	1	0	0	0	0	0	0
1	84	3	1	1	1	0	0	0	0	0	0
1	85	3	0	0	0	0	0	0	0	0	0
1	86	3	1	0	1	0	0	0	0	0	0
1	87	0	0	0	0	0	0	0	0	0	0
1	88	3	0	0	0	0	0	0	0	0	0
1	89	4	0	0	0	0	0	0	0	0	0
1	90	2	0	0	0	0	0	0	0	0	0
1	91	2	0	0	0	0	0	0	0	0	0
1	92	0	0	0	0	0	0	0	0	0	0
1	93	1	1	0	1	0	0	0	0	0	0
1	94	5	1	0	1	0	0	0	0	0	0
1	95	4	0	0	0	0	0	0	0	0	0
1	96	3	0	0	0	0	0	0	0	0	0
1	97	0	0	0	0	0	0	0	0	0	0
1	98	4	1	0	1	0	0	0	0	0	0
1	99	1	0	0	0	0	0	0	0	0	0
1	100	2	1	1	1	1	0	0	0	0	0
1	101	5	1	1	1	0	0	0	0	0	0
1	102	1	0	0	0	0	0	0	0	0	0
1	103	3	0	0	0	0	0	0	0	0	0
1	104	0	0	0	0	0	0	0	0	0	0
1	105	1	0	0	0	0	0	0	0	0	0
1	106	3	0	0	0	0	0	0	0	0	0
1	107	2	0	0	0	0	0	0	0	0	0
1	108	0	0	0	0	0	0	0	0	0	0
1	109	3	0	0	0	0	0	0	0	0	0
1	110	2	0	0	0	0	0	0	0	0	0
1	111	2	0	0	0	0	0	0	0	0	0
1	112	1	0	0	0	0	0	0	0	0	0
1	113	1	0	0	0	0	0	0	0	0	0
