seed	t	Total	W_HM	B_HM	W_HF	B_HF	W_MSM	B_MSM	B_HIV	W_HIV
1	0	80	80	0	0	0	0	0	0	6
1	1	80	80	0	0	0	0	0	0	6
1	2	82	82	0	0	0	0	0	0	6
1	3	87	87	0	0	0	0	0	0	7
1	4	87	87	0	0	0	0	0	0	7
1	5	87	87	0	0	0	0	0	0	7
1	6	88	88	0	0	0	0	0	0	7
1	7	89	89	0	0	0	0	0	0	6
1	8	91	91	0	0	0	0	0	0	6
1	9	92	92	0	0	0	0	0	0	6
1	10	94	94	0	0	0	0	0	0	6
1	11	96	96	0	0	0	0	0	0	6
1	12	95	95	0	0	0	0	0	0	5
1	13	96	96	0	0	0	0	0	0	5
1	14	102	102	0	0	0	0	0	0	5
1	15	102	102	0	0	0	0	0	0	5
1	16	102	102	0	0	0	0	0	0	4
1	17	106	106	0	0	0	0	0	0	5
1	18	105	105	0	0	0	0	0	0	5
1	19	106	106	0	0	0	0	0	0	5
1	20	105	105	0	0	0	0	0	0	5
1	21	106	106	0	0	0	0	0	0	4
1	22	109	109	0	0	0	0	0	0	5
1	23	113	113	0	0	0	0	0	0	5
1	24	115	115	0	0	0	0	0	0	7
1	25	117	117	0	0	0	0	0	0	8
1	26	119	119	0	0	0	0	0	0	8
1	27	118	118	0	0	0	0	0	0	8
1	28	118	118	0	0	0	0	0	0	9
1	29	117	117	0	0	0	0	0	0	9
1	30	121	121	0	0	0	0	0	0	9
1	31	124	124	0	0	0	0	0	0	9
1	32	122	122	0	0	0	0	0	0	8
1	33	122	122	0	0	0	0	0	0	8
1	34	121	121	0	0	0	0	0	0	8
1	35	122	122	0	0	0	0	0	0	8
1	36	122	122	0	0	0	0	0	0	8
1	37	123	123	0	0	0	0	0	0	8
1	38	124	124	0	0	0	0	0	0	8
1	39	126	126	0	0	0	0	0	0	10
1	40	127	127	0	0	0	0	0	0	10
1	41	129	129	0	0	0	0	0	0	10
1	42	127	127	0	0	0	0	0	0	9
1	43	128	128	0	0	0	0	0	0	9
1	44	128	128	0	0	0	0	0	0	9
1	45	127	127	0	0	0	0	0	0	9
1	46	126	126	0	0	0	0	0	0	9
1	47	127	127	0	0	0	0	0	0	9
1	48	125	125	0	0	0	0	0	0	9
1	49	127	127	0	0	0	0	0	0	9
1	50	126	126	0	0	0	0	0	0	9
1	51	127	127	0	0	0	0	0	0	9
1	52	131	131	0	0	0	0	0	0	10
1	53	131	131	0	0	0	0	0	0	10
1	54	131	131	0	0	0	0	0	0	10
1	55	133	133	0	0	0	0	0	0	10
1	56	135	135	0	0	0	0	0	0	10
1	57	136	136	0	0	0	0	0	0	10
1	58	140	140	0	0	0	0	0	0	10
1	59	138	138	0	0	0	0	0	0	10
1	60	140	140	0	0	0	0	0	0	10
1	61	141	141	0	0	0	0	0	0	10
1	62	142	142	0	0	0	0	0	0	12
1	63	144	144	0	0	0	0	0	0	12
1	64	148	148	0	0	0	0	0	0	12
1	65	149	149	0	0	0	0	0	0	12
1	66	150	150	0	0	0	0	0	0	12
1	67	150	150	0	0	0	0	0	0	12
1	68	147	147	0	0	0	0	0	0	12
1	69	151	151	0	0	0	0	0	0	13
1	70	152	152	0	0	0	0	0	0	14
1	71	153	153	0	0	0	0	0	0	14
1	72	151	151	0	0	0	0	0	0	14
1	73	152	152	0	0	0	0	0	0	14
1	74	151	151	0	0	0	0	0	0	14
1	75	150	150	0	0	0	0	0	0	14
1	76	149	149	0	0	0	0	0	0	14
1	77	148	148	0	0	0	0	0	0	14
1	78	148	148	0	0	0	0	0	0	14
1	79	149	149	0	0	0	0	0	0	14
1	80	150	150	0	0	0	0	0	0	14
1	81	150	150	0	0	0	0	0	0	14
1	82	148	148	0	0	0	0	0	0	14
1	83	147	147	0	0	0	0	0	0	13
1	84	146	146	0	0	0	0	0	0	12
1	85	145	145	0	0	0	0	0	0	12
1	86	143	143	0	0	0	0	0	0	11
1	87	144	144	0	0	0	0	0	0	11
1	88	143	143	0	0	0	0	0	0	11
1	89	142	142	0	0	0	0	0	0	11
1	90	142	142	0	0	0	0	0	0	11
1	91	143	143	0	0	0	0	0	0	11
1	92	143	143	0	0	0	0	0	0	11
1	93	144	144	0	0	0	0	0	0	10
1	94	141	141	0	0	0	0	0	0	9
1	95	137	137	0	0	0	0	0	0	9
1	96	135	135	0	0	0	0	0	0	9
1	97	135	135	0	0	0	0	0	0	9
1	98	132	132	0	0	0	0	0	0	8
1	99	131	131	0	0	0	0	0	0	8
1	100	130	130	0	0	0	0	0	0	7
1	101	130	130	0	0	0	0	0	0	6
1	102	131	131	0	0	0	0	0	0	6
1	103	129	129	0	0	0	0	0	0	7
1	104	129	129	0	0	0	0	0	0	7
1	105	130	130	0	0	0	0	0	0	7
1	106	127	127	0	0	0	0	0	0	7
1	107	127	127	0	0	0	0	0	0	7
1	108	128	128	0	0	0	0	0	0	7
1	109	126	126	0	0	0	0	0	0	7
1	110	126	126	0	0	0	0	0	0	7
1	111	130	130	0	0	0	0	0	0	8
1	112	129	129	0	0	0	0	0	0	8
1	113	128	128	0	0	0	0	0	0	8
1	114	130	130	0	0	0	0	0	0	8
1	115	126	126	0	0	0	0	0	0	7
1	116	125	125	0	0	0	0	0	0	7
1	117	126	126	0	0	0	0	0	0	8
1	118	126	126	0	0	0	0	0	0	8
1	119	124	124	0	0	0	0	0	0	7
1	120	124	124	0	0	0	0	0	0	7
