seed	t	Total	HIV	AIDS	Tested	ART	Incidence	HRInc_6mo	HRInc_Ev	NewlyDiag	Deaths	PrEP
1	0	20990	1025	530	667	397	0	0	0	0	82	0
1	1	20990	1030	531	667	402	5	0	0	0	82	0
1	2	20995	1035	532	666	404	6	1	1	0	1	0
1	3	20993	1038	534	666	408	4	0	0	0	1	0
1	4	20991	1042	537	665	410	6	0	0	0	2	0
1	5	20989	1045	538	663	411	6	0	0	0	3	0
1	6	20989	1049	539	663	413	4	0	0	0	0	0
1	7	20990	1051	541	662	416	3	0	0	0	1	0
1	8	20989	1055	544	661	414	7	1	1	0	3	0
1	9	20985	1062	546	660	419	8	0	0	0	1	0
1	10	20984	1065	544	658	418	6	0	0	0	3	0
1	11	20974	1060	542	655	417	0	0	0	0	5	0
1	12	20974	1061	541	656	420	2	0	0	0	1	0
1	13	20976	1066	543	655	420	8	1	1	0	3	0
1	14	20978	1064	539	653	419	3	0	0	0	5	0
1	15	20984	1068	539	652	421	5	0	0	0	1	0
1	16	20983	1073	540	652	421	5	0	0	0	0	0
1	17	20984	1075	541	648	423	7	0	0	0	5	0
1	18	20984	1076	544	647	427	2	0	0	0	1	0
1	19	20977	1083	546	648	427	7	1	1	0	0	0
1	20	20983	1087	546	647	428	6	0	0	0	2	0
1	21	20978	1090	545	647	430	5	1	1	0	2	0
1	22	20976	1093	546	646	429	6	0	1	0	3	0
1	23	20981	1095	547	643	428	5	0	0	0	3	0
1	24	20980	1100	548	642	431	7	0	0	0	2	0
1	25	20975	1104	549	640	430	6	1	1	0	2	0
1	26	20977	1106	551	640	433	2	0	0	0	0	0
1	27	20984	1109	553	640	438	3	0	0	0	0	0
1	28	20983	1112	551	639	440	6	0	0	0	3	0
1	29	20982	1113	550	637	441	4	0	0	0	3	0
1	30	20986	1116	551	635	444	5	1	1	0	2	0
1	31	20988	1118	554	634	445	4	0	1	0	2	0
1	32	20996	1119	556	635	443	2	0	0	0	1	0
1	33	20997	1124	555	633	442	7	1	1	0	2	0
1	34	21000	1127	555	632	442	5	0	0	0	2	0
1	35	20999	1127	558	631	444	1	1	1	0	1	0
1	36	20997	1127	563	631	445	0	0	0	0	0	0
1	37	21003	1128	562	631	446	3	0	0	0	2	0
1	38	21005	1129	559	628	444	4	1	1	0	3	0
1	39	21011	1129	558	627	443	2	0	0	0	2	0
1	40	21010	1132	559	627	445	6	0	1	0	3	0
1	41	21010	1137	559	625	444	8	0	1	0	3	0
1	42	21006	1137	558	623	444	4	0	1	0	4	0
1	43	21004	1137	563	622	442	1	0	0	0	1	0
1	44	21003	1136	562	619	438	4	0	0	0	5	0
1	45	21011	1137	561	617	439	4	0	0	0	3	0
1	46	21015	1137	562	616	439	2	0	0	0	2	0
1	47	21020	1142	565	616	441	6	1	1	0	1	0
1	48	21018	1145	565	614	444	5	0	0	0	2	0
1	49	21013	1149	564	611	441	8	0	0	0	4	0
1	50	21024	1154	565	611	441	7	1	1	0	2	0
1	51	21023	1158	570	611	442	4	0	0	0	0	0
1	52	21026	1163	571	612	444	5	0	0	0	0	0
1	53	21022	1162	575	610	444	2	0	0	0	3	0
1	54	21015	1163	577	611	447	3	0	0	0	2	0
1	55	21014	1166	578	610	445	5	0	0	0	2	0
1	56	21011	1165	575	609	446	3	0	0	0	4	0
1	57	21013	1165	574	608	446	4	0	0	0	4	0
1	58	21021	1163	575	604	442	3	0	0	0	5	0
1	59	21018	1166	577	604	442	4	0	0	0	1	0
1	60	21020	1171	578	603	441	7	1	2	0	2	0
1	61	21020	1173	581	604	442	4	0	1	0	2	0
1	62	21019	1178	584	603	442	6	2	2	0	1	0
1	63	21020	1175	586	603	442	1	0	0	0	4	0
