seed	t	Total	HM	HF	HIV_tot	HIV_HM	HIV_HF
1	0	5000	2063	2937	242	135	107
1	1	5000	2063	2937	245	136	109
1	2	5000	2065	2935	248	137	111
1	3	5000	2062	2938	248	137	111
1	4	5000	2062	2938	252	138	114
1	5	5000	2062	2938	251	138	113
1	6	5000	2060	2940	255	140	115
1	7	5000	2059	2941	255	140	115
1	8	5000	2059	2941	256	140	116
1	9	5000	2058	2942	259	142	117
1	10	5000	2059	2941	260	142	118
1	11	5000	2059	2941	260	142	118
1	12	5000	2060	2940	262	143	119
1	13	5000	2060	2940	262	143	119
1	14	5000	2059	2941	262	143	119
1	15	5000	2058	2942	262	143	119
1	16	5000	2057	2943	260	142	118
1	17	5000	2058	2942	263	143	120
1	18	5000	2059	2941	265	143	122
1	19	5000	2060	2940	266	143	123
1	20	5000	2058	2942	266	143	123
1	21	5000	2058	2942	266	142	124
1	22	5000	2057	2943	268	143	125
1	23	5000	2057	2943	270	144	126
1	24	5000	2057	2943	271	144	127
1	25	5000	2055	2945	270	143	127
1	26	5000	2054	2946	271	143	128
1	27	5000	2054	2946	272	143	129
1	28	5000	2055	2945	275	145	130
1	29	5000	2056	2944	274	144	130
1	30	5000	2059	2941	274	144	130
1	31	5000	2058	2942	272	143	129
1	32	5000	2058	2942	273	144	129
1	33	5000	2056	2944	275	146	129
1	34	5000	2056	2944	278	147	131
1	35	5000	2056	2944	278	148	130
1	36	5000	2056	2944	278	148	130
1	37	5000	2056	2944	278	148	130
1	38	5000	2057	2943	280	149	131
1	39	5000	2055	2945	281	151	130
1	40	5000	2054	2946	283	152	131
1	41	5000	2055	2945	284	152	132
1	42	5000	2055	2945	285	152	133
1	43	5000	2055	2945	285	151	134
1	44	5000	2052	2948	284	150	134
1	45	5000	2052	2948	285	149	136
1	46	5000	2053	2947	285	150	135
1	47	5000	2053	2947	290	152	138
1	48	5000	2051	2949	292	154	138
1	49	5000	2053	2947	294	154	140
1	50	5000	2054	2946	294	154	140
1	51	5000	2055	2945	295	154	141
1	52	5000	2054	2946	294	153	141
1	53	5000	2055	2945	296	155	141
1	54	5000	2054	2946	296	155	141
1	55	5000	2053	2947	296	154	142
1	56	5000	2051	2949	297	155	142
1	57	5000	2050	2950	298	155	143
1	58	5000	2049	2951	297	153	144
1	59	5000	2048	2952	298	154	144
1	60	5000	2048	2952	296	155	141
1	61	5000	2047	2953	297	156	141
1	62	5000	2048	2952	298	156	142
1	63	5000	2047	2953	301	157	144
1	64	5000	2048	2952	302	157	145
1	65	5000	2049	2951	303	157	146
1	66	5000	2048	2952	303	157	146
1	67	5000	2047	2953	304	157	147
1	68	5000	2049	2951	306	157	149
1	69	5000	2047	2953	307	158	149
1	70	5000	2049	2951	310	159	151
1	71	5000	2052	2948	310	159	151
1	72	5000	2051	2949	310	159	151
1	73	5000	2050	2950	310	160	150
1	74	5000	2050	2950	312	160	152
1	75	5000	2050	2950	316	161	155
1	76	5000	2049	2951	316	160	156
1	77	5000	2051	2949	316	160	156
1	78	5000	2052	2948	318	162	156
1	79	5000	2052	2948	317	161	156
1	80	5000	2052	2948	319	161	158
1	81	5000	2052	2948	320	161	159
1	82	5000	2051	2949	322	162	160
1	83	5000	2050	2950	323	163	160
1	84	5000	2048	2952	323	163	160
1	85	5000	2048	2952	323	163	160
1	86	5000	2047	2953	322	162	160
1	87	5000	2049	2951	322	163	159
1	88	5000	2049	2951	325	164	161
1	89	5000	2049	2951	326	164	162
1	90	5000	2049	2951	327	164	163
1	91	5000	2049	2951	328	165	163
1	92	5000	2050	2950	331	167	164
1	93	5000	2051	2949	333	169	164
1	94	5000	2051	2949	332	169	163
1	95	5000	2053	2947	332	169	163
1	96	5000	2054	2946	333	169	164
1	97	5000	2054	2946	334	169	165
1	98	5000	2055	2945	335	170	165
1	99	5000	2057	2943	337	170	167
1	100	5000	2059	2941	337	169	168
1	101	5000	2057	2943	337	169	168
1	102	5000	2058	2942	339	170	169
1	103	5000	2059	2941	341	171	170
1	104	5000	2059	2941	338	169	169
1	105	5000	2059	2941	339	169	170
1	106	5000	2062	2938	339	170	169
1	107	5000	2061	2939	338	169	169
1	108	5000	2060	2940	339	170	169
1	109	5000	2061	2939	339	170	169
1	110	5000	2059	2941	341	170	171
1	111	5000	2061	2939	343	171	172
1	112	5000	2061	2939	344	172	172
1	113	5000	2060	2940	345	173	172
1	114	5000	2061	2939	347	175	172
1	115	5000	2062	2938	348	175	173
1	116	5000	2062	2938	348	174	174
1	117	5000	2062	2938	349	175	174
1	118	5000	2064	2936	349	175	174
1	119	5000	2066	2934	351	178	173
1	120	5000	2067	2933	350	178	172
