seed	t	Total-HIV	MSM	Tested+	HAART
1	0	1896	0	1047	633
1	1	1910	0	1047	641
1	2	1925	0	1046	644
1	3	1936	0	1045	650
1	4	1950	0	1044	652
1	5	1959	0	1042	654
1	6	1970	0	1040	656
1	7	1977	0	1038	658
1	8	1988	0	1036	657
1	9	2001	0	1034	661
1	10	2008	0	1032	664
1	11	2011	0	1029	664
1	12	2014	0	1030	669
1	13	2027	0	1028	670
1	14	2027	0	1026	671
1	15	2035	0	1025	676
1	16	2041	0	1024	678
1	17	2044	0	1019	680
1	18	2049	0	1017	687
1	19	2062	0	1018	688
1	20	2068	0	1016	691
1	21	2075	0	1016	695
1	22	2084	0	1015	695
1	23	2091	0	1012	695
1	24	2098	0	1010	698
1	25	2109	0	1008	698
1	26	2113	0	1008	703
1	27	2120	0	1007	709
1	28	2129	0	1005	711
1	29	2130	0	1002	712
1	30	2138	0	1000	716
1	31	2143	0	999	718
1	32	2150	0	1000	718
1	33	2160	0	998	718
1	34	2171	0	997	718
1	35	2178	0	995	721
1	36	2180	0	994	721
1	37	2185	0	994	723
1	38	2193	0	990	721
1	39	2194	0	989	720
1	40	2201	0	988	722
1	41	2213	0	986	722
1	42	2216	0	984	722
1	43	2220	0	983	720
1	44	2220	0	979	718
1	45	2227	0	977	719
1	46	2229	0	974	719
1	47	2237	0	973	722
1	48	2243	0	970	724
1	49	2252	0	967	721
1	50	2258	0	966	720
1	51	2267	0	965	723
1	52	2272	0	966	725
1	53	2273	0	962	725
1	54	2279	0	963	728
1	55	2282	0	961	726
1	56	2281	0	959	726
1	57	2286	0	958	727
1	58	2286	0	952	722
1	59	2292	0	951	722
1	60	2296	0	950	722
1	61	2303	0	951	723
1	62	2315	0	950	723
1	63	2316	0	950	724
1	64	2325	0	951	729
1	65	2328	0	950	729
1	66	2330	0	946	727
1	67	2331	0	944	725
1	68	2334	0	943	723
1	69	2337	0	939	722
1	70	2345	0	939	725
1	71	2350	0	937	726
1	72	2353	0	936	727
1	73	2361	0	935	726
1	74	2359	0	929	725
1	75	2360	0	928	726
1	76	2375	0	928	728
1	77	2384	0	926	728
1	78	2392	0	925	728
1	79	2404	0	924	727
1	80	2415	0	922	723
1	81	2423	0	921	725
1	82	2433	0	920	724
1	83	2445	0	918	726
1	84	2449	0	917	728
1	85	2449	0	916	728
1	86	2456	0	916	730
1	87	2462	0	916	731
1	88	2470	0	913	730
1	89	2477	0	913	732
1	90	2488	0	913	733
1	91	2498	0	913	733
1	92	2499	0	910	733
1	93	2508	0	910	734
1	94	2513	0	906	732
1	95	2516	0	903	729
1	96	2518	0	901	727
1	97	2521	0	900	725
1	98	2523	0	899	724
1	99	2532	0	900	726
1	100	2542	0	901	729
1	101	2555	0	902	729
1	102	2568	0	901	733
1	103	2574	0	900	731
1	104	2580	0	899	729
1	105	2584	0	900	730
1	106	2588	0	898	728
1	107	2603	0	898	728
1	108	2614	0	897	726
1	109	2619	0	899	727
1	110	2622	0	899	727
1	111	2628	0	898	730
1	112	2644	0	897	730
1	113	2657	0	897	732
1	114	2658	0	894	733
1	115	2666	0	895	734
1	116	2675	0	893	735
1	117	2679	0	892	736
1	118	2684	0	891	737
1	119	2697	0	892	739
1	120	2704	0	891	738
