seed	t	Tot_Ev	HM_Ev	HF_Ev	Tot_6mo	HM_6mo	HF_6mo
1	0	0	0	0	0	0	0
1	1	0	0	0	0	0	0
1	2	1	1	0	1	1	0
1	3	0	0	0	0	0	0
1	4	0	0	0	0	0	0
1	5	0	0	0	0	0	0
1	6	0	0	0	0	0	0
1	7	0	0	0	0	0	0
1	8	1	1	0	1	1	0
1	9	0	0	0	0	0	0
1	10	0	0	0	0	0	0
1	11	0	0	0	0	0	0
1	12	0	0	0	0	0	0
1	13	1	1	0	1	1	0
1	14	1	0	1	0	0	0
1	15	0	0	0	0	0	0
1	16	0	0	0	0	0	0
1	17	1	0	1	0	0	0
1	18	0	0	0	0	0	0
1	19	2	1	1	2	1	1
1	20	0	0	0	0	0	0
1	21	1	1	0	1	1	0
1	22	1	1	0	0	0	0
1	23	0	0	0	0	0	0
1	24	1	0	1	1	0	1
1	25	1	1	0	1	1	0
1	26	0	0	0	0	0	0
1	27	0	0	0	0	0	0
1	28	0	0	0	0	0	0
1	29	0	0	0	0	0	0
1	30	1	1	0	1	1	0
1	31	2	1	1	0	0	0
1	32	1	0	1	1	0	1
1	33	1	1	0	1	1	0
1	34	0	0	0	0	0	0
1	35	2	1	1	1	1	0
1	36	0	0	0	0	0	0
1	37	1	0	1	0	0	0
1	38	1	1	0	1	1	0
1	39	0	0	0	0	0	0
1	40	1	1	0	0	0	0
1	41	1	1	0	0	0	0
1	42	1	1	0	0	0	0
1	43	0	0	0	0	0	0
1	44	0	0	0	0	0	0
1	45	0	0	0	0	0	0
1	46	0	0	0	0	0	0
1	47	1	1	0	1	1	0
1	48	0	0	0	0	0	0
1	49	1	0	1	0	0	0
1	50	1	1	0	1	1	0
1	51	1	0	1	1	0	1
1	52	0	0	0	0	0	0
1	53	0	0	0	0	0	0
1	54	0	0	0	0	0	0
1	55	0	0	0	0	0	0
1	56	0	0	0	0	0	0
1	57	0	0	0	0	0	0
1	58	0	0	0	0	0	0
1	59	0	0	0	0	0	0
1	60	2	2	0	1	1	0
1	61	1	1	0	0	0	0
1	62	2	2	0	2	2	0
1	63	0	0	0	0	0	0
1	64	0	0	0	0	0	0
1	65	0	0	0	0	0	0
1	66	0	0	0	0	0	0
1	67	1	1	0	0	0	0
1	68	0	0	0	0	0	0
1	69	0	0	0	0	0	0
1	70	0	0	0	0	0	0
1	71	0	0	0	0	0	0
1	72	1	1	0	0	0	0
1	73	1	1	0	1	1	0
1	74	0	0	0	0	0	0
1	75	1	1	0	1	1	0
1	76	2	1	1	0	0	0
1	77	0	0	0	0	0	0
1	78	1	1	0	0	0	0
1	79	1	1	0	1	1	0
1	80	1	1	0	0	0	0
1	81	1	1	0	0	0	0
1	82	0	0	0	0	0	0
1	83	2	2	0	1	1	0
1	84	0	0	0	0	0	0
1	85	0	0	0	0	0	0
1	86	0	0	0	0	0	0
1	87	0	0	0	0	0	0
1	88	2	2	0	1	1	0
1	89	2	2	0	0	0	0
1	90	1	1	0	0	0	0
1	91	1	1	0	0	0	0
1	92	0	0	0	0	0	0
1	93	1	1	0	0	0	0
1	94	1	1	0	0	0	0
1	95	1	1	0	0	0	0
1	96	0	0	0	0	0	0
1	97	0	0	0	0	0	0
1	98	0	0	0	0	0	0
1	99	2	2	0	1	1	0
1	100	0	0	0	0	0	0
1	101	1	1	0	1	1	0
1	102	0	0	0	0	0	0
1	103	0	0	0	0	0	0
1	104	2	0	2	0	0	0
1	105	0	0	0	0	0	0
1	106	1	1	0	0	0	0
1	107	1	1	0	1	1	0
1	108	1	1	0	1	1	0
1	109	1	0	1	0	0	0
1	110	0	0	0	0	0	0
1	111	1	1	0	0	0	0
1	112	3	2	1	1	1	0
1	113	1	1	0	1	1	0
1	114	1	1	0	0	0	0
1	115	1	1	0	0	0	0
1	116	0	0	0	0	0	0
1	117	0	0	0	0	0	0
1	118	0	0	0	0	0	0
1	119	2	2	0	0	0	0
1	120	1	0	1	1	0	1
