seed	t	newHR_HM	newHR_HIV_HM	newHR_AIDS_HM	newHR_Tested_HM	newHR_ART_HM	newHR_HF	newHR_HIV_HF	newHR_AIDS_HF	newHR_Tested_HF	newHR_ART_HF
1	0	0	0	0	0	0	0	0	0	0	0
1	1	14	0	0	0	0	0	0	0	0	0
1	2	8	1	0	1	0	0	0	0	0	0
1	3	12	0	0	0	0	0	0	0	0	0
1	4	8	0	0	0	0	0	0	0	0	0
1	5	7	0	0	0	0	0	0	0	0	0
1	6	10	1	1	1	0	0	0	0	0	0
1	7	8	0	0	0	0	0	0	0	0	0
1	8	13	0	0	0	0	0	0	0	0	0
1	9	7	0	0	0	0	0	0	0	0	0
1	10	7	0	0	0	0	0	0	0	0	0
1	11	6	1	0	1	0	0	0	0	0	0
1	12	10	2	1	2	0	0	0	0	0	0
1	13	13	1	1	1	1	0	0	0	0	0
1	14	11	1	1	1	0	0	0	0	0	0
1	15	15	0	0	0	0	0	0	0	0	0
1	16	13	0	0	0	0	0	0	0	0	0
1	17	5	0	0	0	0	0	0	0	0	0
1	18	12	1	1	1	0	0	0	0	0	0
1	19	17	1	1	1	0	0	0	0	0	0
1	20	14	1	1	1	0	0	0	0	0	0
1	21	16	2	0	2	1	0	0	0	0	0
1	22	10	1	0	1	0	0	0	0	0	0
1	23	16	1	1	1	0	0	0	0	0	0
1	24	13	0	0	0	0	0	0	0	0	0
1	25	16	0	0	0	0	0	0	0	0	0
1	26	8	0	0	0	0	0	0	0	0	0
1	27	15	0	0	0	0	0	0	0	0	0
1	28	16	2	2	1	0	0	0	0	0	0
1	29	17	0	0	0	0	0	0	0	0	0
1	30	10	0	0	0	0	0	0	0	0	0
1	31	11	0	0	0	0	0	0	0	0	0
1	32	13	1	1	1	0	0	0	0	0	0
1	33	21	0	0	0	0	0	0	0	0	0
1	34	21	1	1	1	1	0	0	0	0	0
1	35	13	0	0	0	0	0	0	0	0	0
1	36	9	0	0	0	0	0	0	0	0	0
1	37	17	0	0	0	0	0	0	0	0	0
1	38	19	2	2	0	0	0	0	0	0	0
1	39	15	0	0	0	0	0	0	0	0	0
1	40	12	0	0	0	0	0	0	0	0	0
1	41	14	0	0	0	0	0	0	0	0	0
1	42	15	0	0	0	0	0	0	0	0	0
1	43	17	3	3	3	0	0	0	0	0	0
1	44	18	1	1	1	0	0	0	0	0	0
1	45	19	1	0	1	0	0	0	0	0	0
1	46	18	1	1	1	1	0	0	0	0	0
1	47	19	0	0	0	0	0	0	0	0	0
1	48	19	0	0	0	0	0	0	0	0	0
1	49	20	1	1	1	0	0	0	0	0	0
1	50	15	1	1	1	0	0	0	0	0	0
1	51	17	1	1	1	0	0	0	0	0	0
1	52	17	1	0	1	1	0	0	0	0	0
1	53	26	0	0	0	0	0	0	0	0	0
1	54	21	0	0	0	0	0	0	0	0	0
1	55	20	2	2	2	0	0	0	0	0	0
1	56	21	2	1	2	0	0	0	0	0	0
1	57	11	0	0	0	0	0	0	0	0	0
1	58	32	3	1	3	0	0	0	0	0	0
1	59	22	0	0	0	0	0	0	0	0	0
1	60	19	1	1	1	0	0	0	0	0	0
1	61	21	0	0	0	0	0	0	0	0	0
1	62	19	1	1	1	0	0	0	0	0	0
1	63	21	2	2	2	0	0	0	0	0	0
1	64	16	0	0	0	0	0	0	0	0	0
1	65	19	1	1	1	0	0	0	0	0	0
1	66	21	0	0	0	0	0	0	0	0	0
1	67	20	1	0	1	0	0	0	0	0	0
1	68	22	3	2	3	1	0	0	0	0	0
1	69	23	2	0	2	0	0	0	0	0	0
1	70	16	1	1	1	0	0	0	0	0	0
1	71	21	1	0	1	0	0	0	0	0	0
1	72	25	2	2	2	0	0	0	0	0	0
1	73	19	3	0	3	0	0	0	0	0	0
1	74	19	0	0	0	0	0	0	0	0	0
1	75	25	0	0	0	0	0	0	0	0	0
1	76	23	0	0	0	0	0	0	0	0	0
1	77	22	0	0	0	0	0	0	0	0	0
1	78	20	0	0	0	0	0	0	0	0	0
1	79	24	4	3	4	0	0	0	0	0	0
1	80	16	2	0	2	0	0	0	0	0	0
1	81	15	0	0	0	0	0	0	0	0	0
1	82	24	1	1	1	0	0	0	0	0	0
